"political_party","total_votes","pp_valid_votes","pp_casting_votes","department","province","district"
"DEMOCRACIA DIRECTA","0","0.000%","0.000%","HUANCAVELICA","CASTROVIRREYNA","ARMA"
"ALIANZA PARA EL PROGRESO","7","1.434%","1.064%","HUANCAVELICA","CASTROVIRREYNA","ARMA"
"PARTIDO NACIONALISTA PERUANO","15","2.287%","1.738%","HUANCAVELICA","CASTROVIRREYNA","AURAHUA"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","5","0.762%","0.579%","HUANCAVELICA","CASTROVIRREYNA","AURAHUA"
"PARTIDO MORADO","12","1.829%","1.390%","HUANCAVELICA","CASTROVIRREYNA","AURAHUA"
"PERU PATRIA SEGURA","2","0.305%","0.232%","HUANCAVELICA","CASTROVIRREYNA","AURAHUA"
"VICTORIA NACIONAL","11","1.677%","1.275%","HUANCAVELICA","CASTROVIRREYNA","AURAHUA"
"ACCION POPULAR","88","13.415%","10.197%","HUANCAVELICA","CASTROVIRREYNA","AURAHUA"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","11","1.677%","1.275%","HUANCAVELICA","CASTROVIRREYNA","AURAHUA"
"PODEMOS PERU","6","0.915%","0.695%","HUANCAVELICA","CASTROVIRREYNA","AURAHUA"
"JUNTOS POR EL PERU","52","7.927%","6.025%","HUANCAVELICA","CASTROVIRREYNA","AURAHUA"
"PARTIDO POPULAR CRISTIANO - PPC","2","0.305%","0.232%","HUANCAVELICA","CASTROVIRREYNA","AURAHUA"
"FUERZA POPULAR","89","13.567%","10.313%","HUANCAVELICA","CASTROVIRREYNA","AURAHUA"
"UNION POR EL PERU","5","0.762%","0.579%","HUANCAVELICA","CASTROVIRREYNA","AURAHUA"
"RENOVACION POPULAR","24","3.659%","2.781%","HUANCAVELICA","CASTROVIRREYNA","AURAHUA"
"RENACIMIENTO UNIDO NACIONAL","13","1.982%","1.506%","HUANCAVELICA","CASTROVIRREYNA","AURAHUA"
"PARTIDO DEMOCRATICO SOMOS PERU","5","0.762%","0.579%","HUANCAVELICA","CASTROVIRREYNA","AURAHUA"
"PARTIDO POLITICO NACIONAL PERU LIBRE","302","46.037%","34.994%","HUANCAVELICA","CASTROVIRREYNA","AURAHUA"
"DEMOCRACIA DIRECTA","2","0.305%","0.232%","HUANCAVELICA","CASTROVIRREYNA","AURAHUA"
"ALIANZA PARA EL PROGRESO","12","1.829%","1.390%","HUANCAVELICA","CASTROVIRREYNA","AURAHUA"
"PARTIDO NACIONALISTA PERUANO","28","5.426%","4.281%","HUANCAVELICA","CASTROVIRREYNA","CAPILLAS"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","3","0.581%","0.459%","HUANCAVELICA","CASTROVIRREYNA","CAPILLAS"
"PARTIDO MORADO","4","0.775%","0.612%","HUANCAVELICA","CASTROVIRREYNA","CAPILLAS"
"PERU PATRIA SEGURA","0","0.000%","0.000%","HUANCAVELICA","CASTROVIRREYNA","CAPILLAS"
"VICTORIA NACIONAL","13","2.519%","1.988%","HUANCAVELICA","CASTROVIRREYNA","CAPILLAS"
"ACCION POPULAR","64","12.403%","9.786%","HUANCAVELICA","CASTROVIRREYNA","CAPILLAS"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","12","2.326%","1.835%","HUANCAVELICA","CASTROVIRREYNA","CAPILLAS"
"PODEMOS PERU","17","3.295%","2.599%","HUANCAVELICA","CASTROVIRREYNA","CAPILLAS"
"JUNTOS POR EL PERU","65","12.597%","9.939%","HUANCAVELICA","CASTROVIRREYNA","CAPILLAS"
"PARTIDO POPULAR CRISTIANO - PPC","0","0.000%","0.000%","HUANCAVELICA","CASTROVIRREYNA","CAPILLAS"
"FUERZA POPULAR","111","21.512%","16.972%","HUANCAVELICA","CASTROVIRREYNA","CAPILLAS"
"UNION POR EL PERU","2","0.388%","0.306%","HUANCAVELICA","CASTROVIRREYNA","CAPILLAS"
"RENOVACION POPULAR","6","1.163%","0.917%","HUANCAVELICA","CASTROVIRREYNA","CAPILLAS"
"RENACIMIENTO UNIDO NACIONAL","7","1.357%","1.070%","HUANCAVELICA","CASTROVIRREYNA","CAPILLAS"
"PARTIDO DEMOCRATICO SOMOS PERU","6","1.163%","0.917%","HUANCAVELICA","CASTROVIRREYNA","CAPILLAS"
"PARTIDO POLITICO NACIONAL PERU LIBRE","175","33.915%","26.758%","HUANCAVELICA","CASTROVIRREYNA","CAPILLAS"
"DEMOCRACIA DIRECTA","1","0.194%","0.153%","HUANCAVELICA","CASTROVIRREYNA","CAPILLAS"
"ALIANZA PARA EL PROGRESO","2","0.388%","0.306%","HUANCAVELICA","CASTROVIRREYNA","CAPILLAS"
"PARTIDO NACIONALISTA PERUANO","21","1.902%","1.401%","HUANCAVELICA","CASTROVIRREYNA","CASTROVIRREYNA"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","9","0.815%","0.600%","HUANCAVELICA","CASTROVIRREYNA","CASTROVIRREYNA"
"PARTIDO MORADO","7","0.634%","0.467%","HUANCAVELICA","CASTROVIRREYNA","CASTROVIRREYNA"
"PERU PATRIA SEGURA","0","0.000%","0.000%","HUANCAVELICA","CASTROVIRREYNA","CASTROVIRREYNA"
"VICTORIA NACIONAL","15","1.359%","1.001%","HUANCAVELICA","CASTROVIRREYNA","CASTROVIRREYNA"
"ACCION POPULAR","133","12.047%","8.873%","HUANCAVELICA","CASTROVIRREYNA","CASTROVIRREYNA"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","32","2.899%","2.135%","HUANCAVELICA","CASTROVIRREYNA","CASTROVIRREYNA"
"PODEMOS PERU","9","0.815%","0.600%","HUANCAVELICA","CASTROVIRREYNA","CASTROVIRREYNA"
"JUNTOS POR EL PERU","90","8.152%","6.004%","HUANCAVELICA","CASTROVIRREYNA","CASTROVIRREYNA"
"PARTIDO POPULAR CRISTIANO - PPC","1","0.091%","0.067%","HUANCAVELICA","CASTROVIRREYNA","CASTROVIRREYNA"
"FUERZA POPULAR","168","15.217%","11.207%","HUANCAVELICA","CASTROVIRREYNA","CASTROVIRREYNA"
"UNION POR EL PERU","10","0.906%","0.667%","HUANCAVELICA","CASTROVIRREYNA","CASTROVIRREYNA"
"RENOVACION POPULAR","63","5.707%","4.203%","HUANCAVELICA","CASTROVIRREYNA","CASTROVIRREYNA"
"RENACIMIENTO UNIDO NACIONAL","10","0.906%","0.667%","HUANCAVELICA","CASTROVIRREYNA","CASTROVIRREYNA"
"PARTIDO DEMOCRATICO SOMOS PERU","11","0.996%","0.734%","HUANCAVELICA","CASTROVIRREYNA","CASTROVIRREYNA"
"PARTIDO POLITICO NACIONAL PERU LIBRE","512","46.377%","34.156%","HUANCAVELICA","CASTROVIRREYNA","CASTROVIRREYNA"
"DEMOCRACIA DIRECTA","1","0.091%","0.067%","HUANCAVELICA","CASTROVIRREYNA","CASTROVIRREYNA"
"ALIANZA PARA EL PROGRESO","12","1.087%","0.801%","HUANCAVELICA","CASTROVIRREYNA","CASTROVIRREYNA"
"PARTIDO NACIONALISTA PERUANO","25","6.250%","4.664%","HUANCAVELICA","CASTROVIRREYNA","CHUPAMARCA"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","1","0.250%","0.187%","HUANCAVELICA","CASTROVIRREYNA","CHUPAMARCA"
"PARTIDO MORADO","1","0.250%","0.187%","HUANCAVELICA","CASTROVIRREYNA","CHUPAMARCA"
"PERU PATRIA SEGURA","1","0.250%","0.187%","HUANCAVELICA","CASTROVIRREYNA","CHUPAMARCA"
"VICTORIA NACIONAL","1","0.250%","0.187%","HUANCAVELICA","CASTROVIRREYNA","CHUPAMARCA"
"ACCION POPULAR","78","19.500%","14.552%","HUANCAVELICA","CASTROVIRREYNA","CHUPAMARCA"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","6","1.500%","1.119%","HUANCAVELICA","CASTROVIRREYNA","CHUPAMARCA"
"PODEMOS PERU","2","0.500%","0.373%","HUANCAVELICA","CASTROVIRREYNA","CHUPAMARCA"
"JUNTOS POR EL PERU","62","15.500%","11.567%","HUANCAVELICA","CASTROVIRREYNA","CHUPAMARCA"
"PARTIDO POPULAR CRISTIANO - PPC","0","0.000%","0.000%","HUANCAVELICA","CASTROVIRREYNA","CHUPAMARCA"
"FUERZA POPULAR","24","6.000%","4.478%","HUANCAVELICA","CASTROVIRREYNA","CHUPAMARCA"
"UNION POR EL PERU","2","0.500%","0.373%","HUANCAVELICA","CASTROVIRREYNA","CHUPAMARCA"
"RENOVACION POPULAR","14","3.500%","2.612%","HUANCAVELICA","CASTROVIRREYNA","CHUPAMARCA"
"RENACIMIENTO UNIDO NACIONAL","2","0.500%","0.373%","HUANCAVELICA","CASTROVIRREYNA","CHUPAMARCA"
"PARTIDO DEMOCRATICO SOMOS PERU","3","0.750%","0.560%","HUANCAVELICA","CASTROVIRREYNA","CHUPAMARCA"
"PARTIDO POLITICO NACIONAL PERU LIBRE","172","43.000%","32.090%","HUANCAVELICA","CASTROVIRREYNA","CHUPAMARCA"
"DEMOCRACIA DIRECTA","1","0.250%","0.187%","HUANCAVELICA","CASTROVIRREYNA","CHUPAMARCA"
"ALIANZA PARA EL PROGRESO","5","1.250%","0.933%","HUANCAVELICA","CASTROVIRREYNA","CHUPAMARCA"
"PARTIDO NACIONALISTA PERUANO","2","0.532%","0.428%","HUANCAVELICA","CASTROVIRREYNA","COCAS"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","4","1.064%","0.857%","HUANCAVELICA","CASTROVIRREYNA","COCAS"
"PARTIDO MORADO","2","0.532%","0.428%","HUANCAVELICA","CASTROVIRREYNA","COCAS"
"PERU PATRIA SEGURA","0","0.000%","0.000%","HUANCAVELICA","CASTROVIRREYNA","COCAS"
"VICTORIA NACIONAL","5","1.330%","1.071%","HUANCAVELICA","CASTROVIRREYNA","COCAS"
"ACCION POPULAR","54","14.362%","11.563%","HUANCAVELICA","CASTROVIRREYNA","COCAS"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","7","1.862%","1.499%","HUANCAVELICA","CASTROVIRREYNA","COCAS"
"PODEMOS PERU","3","0.798%","0.642%","HUANCAVELICA","CASTROVIRREYNA","COCAS"
"JUNTOS POR EL PERU","43","11.436%","9.208%","HUANCAVELICA","CASTROVIRREYNA","COCAS"
"PARTIDO POPULAR CRISTIANO - PPC","0","0.000%","0.000%","HUANCAVELICA","CASTROVIRREYNA","COCAS"
"FUERZA POPULAR","83","22.074%","17.773%","HUANCAVELICA","CASTROVIRREYNA","COCAS"
"UNION POR EL PERU","2","0.532%","0.428%","HUANCAVELICA","CASTROVIRREYNA","COCAS"
"RENOVACION POPULAR","15","3.989%","3.212%","HUANCAVELICA","CASTROVIRREYNA","COCAS"
"RENACIMIENTO UNIDO NACIONAL","6","1.596%","1.285%","HUANCAVELICA","CASTROVIRREYNA","COCAS"
"PARTIDO DEMOCRATICO SOMOS PERU","1","0.266%","0.214%","HUANCAVELICA","CASTROVIRREYNA","COCAS"
"PARTIDO POLITICO NACIONAL PERU LIBRE","147","39.096%","31.478%","HUANCAVELICA","CASTROVIRREYNA","COCAS"
"DEMOCRACIA DIRECTA","1","0.266%","0.214%","HUANCAVELICA","CASTROVIRREYNA","COCAS"
"ALIANZA PARA EL PROGRESO","1","0.266%","0.214%","HUANCAVELICA","CASTROVIRREYNA","COCAS"
"PARTIDO NACIONALISTA PERUANO","29","4.441%","3.400%","HUANCAVELICA","CASTROVIRREYNA","HUACHOS"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","6","0.919%","0.703%","HUANCAVELICA","CASTROVIRREYNA","HUACHOS"
"PARTIDO MORADO","12","1.838%","1.407%","HUANCAVELICA","CASTROVIRREYNA","HUACHOS"
"PERU PATRIA SEGURA","3","0.459%","0.352%","HUANCAVELICA","CASTROVIRREYNA","HUACHOS"
"VICTORIA NACIONAL","23","3.522%","2.696%","HUANCAVELICA","CASTROVIRREYNA","HUACHOS"
"ACCION POPULAR","112","17.152%","13.130%","HUANCAVELICA","CASTROVIRREYNA","HUACHOS"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","16","2.450%","1.876%","HUANCAVELICA","CASTROVIRREYNA","HUACHOS"
"PODEMOS PERU","26","3.982%","3.048%","HUANCAVELICA","CASTROVIRREYNA","HUACHOS"
"JUNTOS POR EL PERU","79","12.098%","9.261%","HUANCAVELICA","CASTROVIRREYNA","HUACHOS"
"PARTIDO POPULAR CRISTIANO - PPC","1","0.153%","0.117%","HUANCAVELICA","CASTROVIRREYNA","HUACHOS"
"FUERZA POPULAR","84","12.864%","9.848%","HUANCAVELICA","CASTROVIRREYNA","HUACHOS"
"UNION POR EL PERU","2","0.306%","0.234%","HUANCAVELICA","CASTROVIRREYNA","HUACHOS"
"RENOVACION POPULAR","17","2.603%","1.993%","HUANCAVELICA","CASTROVIRREYNA","HUACHOS"
"RENACIMIENTO UNIDO NACIONAL","9","1.378%","1.055%","HUANCAVELICA","CASTROVIRREYNA","HUACHOS"
"PARTIDO DEMOCRATICO SOMOS PERU","8","1.225%","0.938%","HUANCAVELICA","CASTROVIRREYNA","HUACHOS"
"PARTIDO POLITICO NACIONAL PERU LIBRE","219","33.538%","25.674%","HUANCAVELICA","CASTROVIRREYNA","HUACHOS"
"DEMOCRACIA DIRECTA","0","0.000%","0.000%","HUANCAVELICA","CASTROVIRREYNA","HUACHOS"
"ALIANZA PARA EL PROGRESO","7","1.072%","0.821%","HUANCAVELICA","CASTROVIRREYNA","HUACHOS"
"PARTIDO NACIONALISTA PERUANO","6","2.804%","2.151%","HUANCAVELICA","CASTROVIRREYNA","HUAMATAMBO"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","3","1.402%","1.075%","HUANCAVELICA","CASTROVIRREYNA","HUAMATAMBO"
"PARTIDO MORADO","1","0.467%","0.358%","HUANCAVELICA","CASTROVIRREYNA","HUAMATAMBO"
"PERU PATRIA SEGURA","0","0.000%","0.000%","HUANCAVELICA","CASTROVIRREYNA","HUAMATAMBO"
"VICTORIA NACIONAL","5","2.336%","1.792%","HUANCAVELICA","CASTROVIRREYNA","HUAMATAMBO"
"ACCION POPULAR","34","15.888%","12.186%","HUANCAVELICA","CASTROVIRREYNA","HUAMATAMBO"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","5","2.336%","1.792%","HUANCAVELICA","CASTROVIRREYNA","HUAMATAMBO"
"PODEMOS PERU","8","3.738%","2.867%","HUANCAVELICA","CASTROVIRREYNA","HUAMATAMBO"
"JUNTOS POR EL PERU","11","5.140%","3.943%","HUANCAVELICA","CASTROVIRREYNA","HUAMATAMBO"
"PARTIDO POPULAR CRISTIANO - PPC","0","0.000%","0.000%","HUANCAVELICA","CASTROVIRREYNA","HUAMATAMBO"
"FUERZA POPULAR","54","25.234%","19.355%","HUANCAVELICA","CASTROVIRREYNA","HUAMATAMBO"
"UNION POR EL PERU","1","0.467%","0.358%","HUANCAVELICA","CASTROVIRREYNA","HUAMATAMBO"
"RENOVACION POPULAR","5","2.336%","1.792%","HUANCAVELICA","CASTROVIRREYNA","HUAMATAMBO"
"RENACIMIENTO UNIDO NACIONAL","1","0.467%","0.358%","HUANCAVELICA","CASTROVIRREYNA","HUAMATAMBO"
"PARTIDO DEMOCRATICO SOMOS PERU","0","0.000%","0.000%","HUANCAVELICA","CASTROVIRREYNA","HUAMATAMBO"
"PARTIDO POLITICO NACIONAL PERU LIBRE","80","37.383%","28.674%","HUANCAVELICA","CASTROVIRREYNA","HUAMATAMBO"
"DEMOCRACIA DIRECTA","0","0.000%","0.000%","HUANCAVELICA","CASTROVIRREYNA","HUAMATAMBO"
"ALIANZA PARA EL PROGRESO","0","0.000%","0.000%","HUANCAVELICA","CASTROVIRREYNA","HUAMATAMBO"
"PARTIDO NACIONALISTA PERUANO","13","3.368%","2.610%","HUANCAVELICA","CASTROVIRREYNA","MOLLEPAMPA"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","3","0.777%","0.602%","HUANCAVELICA","CASTROVIRREYNA","MOLLEPAMPA"
"PARTIDO MORADO","3","0.777%","0.602%","HUANCAVELICA","CASTROVIRREYNA","MOLLEPAMPA"
"PERU PATRIA SEGURA","0","0.000%","0.000%","HUANCAVELICA","CASTROVIRREYNA","MOLLEPAMPA"
"VICTORIA NACIONAL","9","2.332%","1.807%","HUANCAVELICA","CASTROVIRREYNA","MOLLEPAMPA"
"ACCION POPULAR","50","12.953%","10.040%","HUANCAVELICA","CASTROVIRREYNA","MOLLEPAMPA"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","19","4.922%","3.815%","HUANCAVELICA","CASTROVIRREYNA","MOLLEPAMPA"
"PODEMOS PERU","1","0.259%","0.201%","HUANCAVELICA","CASTROVIRREYNA","MOLLEPAMPA"
"JUNTOS POR EL PERU","53","13.731%","10.643%","HUANCAVELICA","CASTROVIRREYNA","MOLLEPAMPA"
"PARTIDO POPULAR CRISTIANO - PPC","2","0.518%","0.402%","HUANCAVELICA","CASTROVIRREYNA","MOLLEPAMPA"
"FUERZA POPULAR","88","22.798%","17.671%","HUANCAVELICA","CASTROVIRREYNA","MOLLEPAMPA"
"UNION POR EL PERU","1","0.259%","0.201%","HUANCAVELICA","CASTROVIRREYNA","MOLLEPAMPA"
"RENOVACION POPULAR","17","4.404%","3.414%","HUANCAVELICA","CASTROVIRREYNA","MOLLEPAMPA"
"RENACIMIENTO UNIDO NACIONAL","1","0.259%","0.201%","HUANCAVELICA","CASTROVIRREYNA","MOLLEPAMPA"
"PARTIDO DEMOCRATICO SOMOS PERU","1","0.259%","0.201%","HUANCAVELICA","CASTROVIRREYNA","MOLLEPAMPA"
"PARTIDO POLITICO NACIONAL PERU LIBRE","118","30.570%","23.695%","HUANCAVELICA","CASTROVIRREYNA","MOLLEPAMPA"
"DEMOCRACIA DIRECTA","3","0.777%","0.602%","HUANCAVELICA","CASTROVIRREYNA","MOLLEPAMPA"
"ALIANZA PARA EL PROGRESO","4","1.036%","0.803%","HUANCAVELICA","CASTROVIRREYNA","MOLLEPAMPA"
"PARTIDO NACIONALISTA PERUANO","10","2.801%","2.193%","HUANCAVELICA","CASTROVIRREYNA","SAN JUAN"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","3","0.840%","0.658%","HUANCAVELICA","CASTROVIRREYNA","SAN JUAN"
"PARTIDO MORADO","0","0.000%","0.000%","HUANCAVELICA","CASTROVIRREYNA","SAN JUAN"
"PERU PATRIA SEGURA","0","0.000%","0.000%","HUANCAVELICA","CASTROVIRREYNA","SAN JUAN"
"VICTORIA NACIONAL","18","5.042%","3.947%","HUANCAVELICA","CASTROVIRREYNA","SAN JUAN"
"ACCION POPULAR","59","16.527%","12.939%","HUANCAVELICA","CASTROVIRREYNA","SAN JUAN"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","9","2.521%","1.974%","HUANCAVELICA","CASTROVIRREYNA","SAN JUAN"
"PODEMOS PERU","15","4.202%","3.289%","HUANCAVELICA","CASTROVIRREYNA","SAN JUAN"
"JUNTOS POR EL PERU","47","13.165%","10.307%","HUANCAVELICA","CASTROVIRREYNA","SAN JUAN"
"PARTIDO POPULAR CRISTIANO - PPC","1","0.280%","0.219%","HUANCAVELICA","CASTROVIRREYNA","SAN JUAN"
"FUERZA POPULAR","84","23.529%","18.421%","HUANCAVELICA","CASTROVIRREYNA","SAN JUAN"
"UNION POR EL PERU","4","1.120%","0.877%","HUANCAVELICA","CASTROVIRREYNA","SAN JUAN"
"RENOVACION POPULAR","8","2.241%","1.754%","HUANCAVELICA","CASTROVIRREYNA","SAN JUAN"
"RENACIMIENTO UNIDO NACIONAL","1","0.280%","0.219%","HUANCAVELICA","CASTROVIRREYNA","SAN JUAN"
"PARTIDO DEMOCRATICO SOMOS PERU","3","0.840%","0.658%","HUANCAVELICA","CASTROVIRREYNA","SAN JUAN"
"PARTIDO POLITICO NACIONAL PERU LIBRE","93","26.050%","20.395%","HUANCAVELICA","CASTROVIRREYNA","SAN JUAN"
"DEMOCRACIA DIRECTA","0","0.000%","0.000%","HUANCAVELICA","CASTROVIRREYNA","SAN JUAN"
"ALIANZA PARA EL PROGRESO","2","0.560%","0.439%","HUANCAVELICA","CASTROVIRREYNA","SAN JUAN"
"PARTIDO NACIONALISTA PERUANO","5","1.035%","0.786%","HUANCAVELICA","CASTROVIRREYNA","SANTA ANA"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","2","0.414%","0.314%","HUANCAVELICA","CASTROVIRREYNA","SANTA ANA"
"PARTIDO MORADO","1","0.207%","0.157%","HUANCAVELICA","CASTROVIRREYNA","SANTA ANA"
"PERU PATRIA SEGURA","1","0.207%","0.157%","HUANCAVELICA","CASTROVIRREYNA","SANTA ANA"
"VICTORIA NACIONAL","6","1.242%","0.943%","HUANCAVELICA","CASTROVIRREYNA","SANTA ANA"
"ACCION POPULAR","56","11.594%","8.805%","HUANCAVELICA","CASTROVIRREYNA","SANTA ANA"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","12","2.484%","1.887%","HUANCAVELICA","CASTROVIRREYNA","SANTA ANA"
"PODEMOS PERU","3","0.621%","0.472%","HUANCAVELICA","CASTROVIRREYNA","SANTA ANA"
"JUNTOS POR EL PERU","35","7.246%","5.503%","HUANCAVELICA","CASTROVIRREYNA","SANTA ANA"
"PARTIDO POPULAR CRISTIANO - PPC","1","0.207%","0.157%","HUANCAVELICA","CASTROVIRREYNA","SANTA ANA"
"FUERZA POPULAR","30","6.211%","4.717%","HUANCAVELICA","CASTROVIRREYNA","SANTA ANA"
"UNION POR EL PERU","3","0.621%","0.472%","HUANCAVELICA","CASTROVIRREYNA","SANTA ANA"
"RENOVACION POPULAR","9","1.863%","1.415%","HUANCAVELICA","CASTROVIRREYNA","SANTA ANA"
"RENACIMIENTO UNIDO NACIONAL","14","2.899%","2.201%","HUANCAVELICA","CASTROVIRREYNA","SANTA ANA"
"PARTIDO DEMOCRATICO SOMOS PERU","4","0.828%","0.629%","HUANCAVELICA","CASTROVIRREYNA","SANTA ANA"
"PARTIDO POLITICO NACIONAL PERU LIBRE","286","59.213%","44.969%","HUANCAVELICA","CASTROVIRREYNA","SANTA ANA"
"DEMOCRACIA DIRECTA","2","0.414%","0.314%","HUANCAVELICA","CASTROVIRREYNA","SANTA ANA"
"ALIANZA PARA EL PROGRESO","13","2.692%","2.044%","HUANCAVELICA","CASTROVIRREYNA","SANTA ANA"
"PARTIDO NACIONALISTA PERUANO","2","0.612%","0.504%","HUANCAVELICA","CASTROVIRREYNA","TANTARA"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","3","0.917%","0.756%","HUANCAVELICA","CASTROVIRREYNA","TANTARA"
"PARTIDO MORADO","0","0.000%","0.000%","HUANCAVELICA","CASTROVIRREYNA","TANTARA"
"PERU PATRIA SEGURA","0","0.000%","0.000%","HUANCAVELICA","CASTROVIRREYNA","TANTARA"
"VICTORIA NACIONAL","11","3.364%","2.771%","HUANCAVELICA","CASTROVIRREYNA","TANTARA"
"ACCION POPULAR","35","10.703%","8.816%","HUANCAVELICA","CASTROVIRREYNA","TANTARA"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","14","4.281%","3.526%","HUANCAVELICA","CASTROVIRREYNA","TANTARA"
"PODEMOS PERU","7","2.141%","1.763%","HUANCAVELICA","CASTROVIRREYNA","TANTARA"
"JUNTOS POR EL PERU","14","4.281%","3.526%","HUANCAVELICA","CASTROVIRREYNA","TANTARA"
"PARTIDO POPULAR CRISTIANO - PPC","3","0.917%","0.756%","HUANCAVELICA","CASTROVIRREYNA","TANTARA"
"FUERZA POPULAR","122","37.309%","30.730%","HUANCAVELICA","CASTROVIRREYNA","TANTARA"
"UNION POR EL PERU","0","0.000%","0.000%","HUANCAVELICA","CASTROVIRREYNA","TANTARA"
"RENOVACION POPULAR","16","4.893%","4.030%","HUANCAVELICA","CASTROVIRREYNA","TANTARA"
"RENACIMIENTO UNIDO NACIONAL","0","0.000%","0.000%","HUANCAVELICA","CASTROVIRREYNA","TANTARA"
"PARTIDO DEMOCRATICO SOMOS PERU","1","0.306%","0.252%","HUANCAVELICA","CASTROVIRREYNA","TANTARA"
"PARTIDO POLITICO NACIONAL PERU LIBRE","97","29.664%","24.433%","HUANCAVELICA","CASTROVIRREYNA","TANTARA"
"DEMOCRACIA DIRECTA","0","0.000%","0.000%","HUANCAVELICA","CASTROVIRREYNA","TANTARA"
"ALIANZA PARA EL PROGRESO","2","0.612%","0.504%","HUANCAVELICA","CASTROVIRREYNA","TANTARA"
"PARTIDO NACIONALISTA PERUANO","30","4.016%","3.119%","HUANCAVELICA","CASTROVIRREYNA","TICRAPO"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","5","0.669%","0.520%","HUANCAVELICA","CASTROVIRREYNA","TICRAPO"
"PARTIDO MORADO","8","1.071%","0.832%","HUANCAVELICA","CASTROVIRREYNA","TICRAPO"
"PERU PATRIA SEGURA","2","0.268%","0.208%","HUANCAVELICA","CASTROVIRREYNA","TICRAPO"
"VICTORIA NACIONAL","12","1.606%","1.247%","HUANCAVELICA","CASTROVIRREYNA","TICRAPO"
"ACCION POPULAR","123","16.466%","12.786%","HUANCAVELICA","CASTROVIRREYNA","TICRAPO"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","28","3.748%","2.911%","HUANCAVELICA","CASTROVIRREYNA","TICRAPO"
"PODEMOS PERU","17","2.276%","1.767%","HUANCAVELICA","CASTROVIRREYNA","TICRAPO"
"JUNTOS POR EL PERU","75","10.040%","7.796%","HUANCAVELICA","CASTROVIRREYNA","TICRAPO"
"PARTIDO POPULAR CRISTIANO - PPC","4","0.535%","0.416%","HUANCAVELICA","CASTROVIRREYNA","TICRAPO"
"FUERZA POPULAR","146","19.545%","15.177%","HUANCAVELICA","CASTROVIRREYNA","TICRAPO"
"UNION POR EL PERU","9","1.205%","0.936%","HUANCAVELICA","CASTROVIRREYNA","TICRAPO"
"RENOVACION POPULAR","40","5.355%","4.158%","HUANCAVELICA","CASTROVIRREYNA","TICRAPO"
"RENACIMIENTO UNIDO NACIONAL","6","0.803%","0.624%","HUANCAVELICA","CASTROVIRREYNA","TICRAPO"
"PARTIDO DEMOCRATICO SOMOS PERU","8","1.071%","0.832%","HUANCAVELICA","CASTROVIRREYNA","TICRAPO"
"PARTIDO POLITICO NACIONAL PERU LIBRE","222","29.719%","23.077%","HUANCAVELICA","CASTROVIRREYNA","TICRAPO"
"DEMOCRACIA DIRECTA","0","0.000%","0.000%","HUANCAVELICA","CASTROVIRREYNA","TICRAPO"
"ALIANZA PARA EL PROGRESO","12","1.606%","1.247%","HUANCAVELICA","CASTROVIRREYNA","TICRAPO"
"PARTIDO NACIONALISTA PERUANO","47","2.635%","1.733%","HUANCAVELICA","CHURCAMPA","ANCO"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","13","0.729%","0.479%","HUANCAVELICA","CHURCAMPA","ANCO"
"PARTIDO MORADO","6","0.336%","0.221%","HUANCAVELICA","CHURCAMPA","ANCO"
"PERU PATRIA SEGURA","5","0.280%","0.184%","HUANCAVELICA","CHURCAMPA","ANCO"
"VICTORIA NACIONAL","7","0.392%","0.258%","HUANCAVELICA","CHURCAMPA","ANCO"
"ACCION POPULAR","121","6.783%","4.462%","HUANCAVELICA","CHURCAMPA","ANCO"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","43","2.410%","1.586%","HUANCAVELICA","CHURCAMPA","ANCO"
